bedrooms,built_surface,bathrooms,latitude,longitude,parking,price
2,64,2,-33.4714085,-70.6089759,1,147000000
1,35,1,-33.4189691,-70.5540672,1,141000000
2,52,2,-33.4365032,-70.6571454,1,140000000
5,190,2,-33.535657,-70.7894985,2,140000000
4,94,2,-33.4594386,-70.6501883,0,139800000
3,76,2,-33.5233952,-70.6002481,1,135000000
3,80,2,-33.523418,-70.6003159,1,135000000
1,37,1,-33.447037,-70.599191,1,135000000
1,34,1,-33.4468168,-70.6138924,1,132000000
2,47,1,-33.4513331,-70.6257794,1,132000000
3,70,2,-33.436443,-70.6548927,1,130000000
3,96,2,-33.4370711,-70.6495905,0,130000000
2,40,2,-33.4360395,-70.6042542,0,129000000
2,78,3,-33.3547153,-70.6831594,1,129000000
3,67,2,-33.449977,-70.654465,1,126000000
2,60,2,-33.448283,-70.6438465,1,126000000
3,78,2,-33.4862957,-70.6481219,1,125000000
3,74,2,-33.4535819,-70.6604829,0,123000000
3,69,2,-33.4485752,-70.6549827,1,123000000
1,41,1,-33.4178736,-70.5976754,0,123000000
4,140,1,-33.5100763,-70.5732189,2,121680000
3,70,2,-33.4661085,-70.6297939,1,120000000
4,87,1,-33.4081454,-70.6578078,1,120000000
3,58,1,-33.4499309,-70.6792359,0,120000000
2,57,2,-33.4480918,-70.6484007,0,120000000
6,176,3,-33.4479076,-70.7128855,2,120000000
3,75,1,-33.4657514,-70.5842566,1,120000000
3,108,3,-33.5442641,-70.7768475,3,120000000
3,75,2,-33.5265714,-70.594539,1,120000000
3,75,2,-33.4561568,-70.7062942,1,120000000
1,48,1,-33.4608417,-70.6004315,1,119700000
2,68,2,-33.4525142,-70.6426725,0,119700000
2,55,2,-33.493298,-70.650382,1,119000000
1,42,1,-33.454607,-70.5767378,1,117600000
2,53,2,-33.5047966,-70.6587117,1,117000000
2,61,2,-33.4419532,-70.659432,0,116600000
2,59,2,-33.4564026,-70.6588846,1,115500000
2,43,1,-33.4567993,-70.6439554,1,115500000
3,97,2,-33.3854266,-70.6602563,4,115000000
2,56,2,-33.4070822,-70.6667315,0,114000000
3,74,3,-33.4773006,-70.6227043,0,114000000
1,38,1,-33.4536255,-70.6073083,1,114000000
1,50,1,-33.4556195,-70.5981867,0,114000000
2,48,2,-33.4864669,-70.5974346,1,114000000
2,60,2,-33.437073,-70.656935,0,113700000
1,32,1,-33.4551787,-70.5751357,1,110700000
2,56,2,-33.4531307,-70.6603065,1,110700000
3,68,2,-33.4341728,-70.6575785,0,110000000
1,34,1,-33.4240851,-70.6107921,0,109500000
1,42,1,-33.4373391,-70.657814,0,109500000
2,53,2,-33.4773024,-70.6229806,0,109000000
2,43,2,-33.43634,-70.6542875,1,108000000
2,54,2,-33.4342569,-70.6592747,1,108000000
3,74,2,-33.4403179,-70.6567833,0,108000000
5,230,2,-33.5323235,-70.7039162,3,108000000
1,40,1,-33.4565829,-70.5970004,1,107400000
1,25,1,-33.4578604,-70.6094319,0,107250000
2,45,1,-33.4865434,-70.6173974,1,106500000
2,57,2,-33.4485726,-70.6366854,1,106500000
2,46,2,-33.4734205,-70.6006963,1,106500000
2,46,2,-33.4484062,-70.6341805,1,105000000
2,53,2,-33.4454266,-70.6429868,1,105000000
2,56,2,-33.4491606,-70.6348078,1,105000000
3,73,2,-33.4485677,-70.6452174,0,105000000
2,53,2,-33.4571641,-70.64445,1,105000000
2,60,2,-33.4712569,-70.6609065,1,105000000
2,60,2,-33.4679979,-70.6558359,1,105000000
2,47,2,-33.449154,-70.63985,1,105000000
3,52,1,-33.4211353,-70.649911,0,105000000
2,42,1,-33.4986621,-70.6553702,1,103500000
3,65,2,-33.4708256,-70.6480873,1,103200000
3,78,2,-33.4873279,-70.6461701,0,102000000
2,58,2,-33.4536322,-70.6989041,0,102000000
2,60,2,-33.4459204,-70.6354691,0,102000000
2,55,2,-33.4257509,-70.646263,1,100500000
2,61,2,-33.450221,-70.6638173,0,100000000
2,69,3,-33.4780383,-70.6367748,0,100000000
2,59,2,-33.4333972,-70.6574374,1,99600000
2,50,2,-33.4490022,-70.6320167,1,99000000
1,32,1,-33.4551088,-70.5751576,1,99000000
2,67,2,-33.4340138,-70.6568891,0,99000000
3,48,2,-33.5138037,-70.6601777,0,99000000
2,50,2,-33.4493518,-70.6426383,1,99000000
2,63,2,-33.4591072,-70.6529548,1,99000000
1,40,1,-33.4511018,-70.6307247,1,99000000
2,46,1,-33.4456381,-70.645078,1,98970000
2,52,2,-33.4582617,-70.6441663,1,98700000
3,64,2,-33.4214662,-70.6492788,0,97500000
2,57,2,-33.4374029,-70.6901527,0,97500000
2,47,2,-33.4484155,-70.6472241,0,97500000
2,48,2,-33.4484155,-70.6472241,0,96000000
2,43,1,-33.4403641,-70.6603851,1,96000000
2,52,2,-33.4583666,-70.6441374,1,96000000
3,65,2,-33.4866358,-70.6473019,0,96000000
2,44,2,-33.447908,-70.6475717,0,96000000
2,45,1,-33.4554478,-70.631068,0,95700000
2,61,2,-33.4476264,-70.6455195,1,95000000
3,62,2,-33.4478276,-70.6356827,0,95000000
2,44,1,-33.3560523,-70.5041172,0,95000000
2,53,2,-33.4802807,-70.5997034,0,95000000
2,52,2,-33.4389278,-70.6903966,0,94500000
2,43,2,-33.4545726,-70.6691486,1,94500000
2,42,2,-33.4502014,-70.6706469,1,93000000
1,35,1,-33.4379839,-70.644776,0,93000000
2,46,1,-33.4906069,-70.6155783,0,93000000
2,50,2,-33.4342569,-70.6592747,1,91000000
2,51,2,-33.4550885,-70.7008501,1,90000000
2,53,2,-33.4357973,-70.6570555,0,90000000
2,46,2,-33.4554281,-70.7029384,1,90000000
2,43,1,-33.4507587,-70.6486377,0,90000000
3,65,2,-33.3862691,-70.6786366,0,90000000
2,42,1,-33.418204,-70.6652735,1,90000000
1,42,1,-33.4907895,-70.6586009,0,89700000
1,42,1,-33.4907895,-70.6586009,0,89700000
2,54,2,-33.4492403,-70.6320428,0,89400000
3,57,1,-33.4601736,-70.7032842,1,88800000
2,60,2,-33.4669025,-70.6538017,1,87030000
2,39,1,-33.5070817,-70.6574864,1,87000000
2,53,2,-33.4338855,-70.6586975,0,87000000
3,63,1,-33.5090477,-70.6563931,0,86100000
3,62,2,-33.5514966,-70.589333,1,86000000
2,50,2,-33.4476264,-70.6455195,0,85830000
2,44,2,-33.4233064,-70.6404022,0,85500000
2,44,2,-33.4233064,-70.6404022,0,85500000
2,44,1,-33.5197132,-70.6567421,1,85500000
3,53,2,-33.400952,-70.6612948,2,85000000
2,42,1,-33.5568045,-70.5727978,1,85000000
2,44,2,-33.4516474,-70.6704272,1,85000000
2,42,2,-33.4523598,-70.6897471,2,84000000
2,60,2,-33.4529713,-70.664235,0,84000000
2,40,1,-33.4582298,-70.6394828,1,84000000
2,43,1,-33.4550133,-70.6332064,0,83820000
2,40,2,-33.5448289,-70.6518663,2,83700000
1,33,1,-33.4492403,-70.6320428,1,83400000
1,28,1,-33.4654309,-70.648927,1,82500000
2,40,1,-33.4344394,-70.6588858,1,82500000
1,28,1,-33.4708256,-70.6480873,1,82470000
1,28,1,-33.4708256,-70.6480873,1,82470000
2,58,1,-33.4497762,-70.6399197,1,82000000
3,66,2,-33.4520991,-70.690998,0,81000000
2,38,1,-33.4687965,-70.649134,1,81000000
2,50,1,-33.448393,-70.6470794,0,81000000
2,45,2,-33.4533919,-70.6956031,1,81000000
1,36,1,-33.4438676,-70.6631652,1,81000000
2,51,2,-33.4505263,-70.6457222,0,81000000
2,45,1,-33.4521608,-70.6980519,1,81000000
3,90,1,-33.5154373,-70.7918751,1,80000000
2,51,1,-33.4491606,-70.6348078,0,80000000
2,51,1,-33.457622,-70.6918022,0,80000000
2,54,2,-33.4554281,-70.7029384,0,79500000
2,54,2,-33.4554281,-70.7029384,0,79500000
2,40,2,-33.4362648,-70.6726345,1,79500000
1,31,1,-33.4546117,-70.6313922,0,79500000
2,38,1,-33.4152242,-70.6702851,1,79500000
1,35,1,-33.4334755,-70.6545564,0,79500000
